Date,PC,PC_recal,Reff,Reff2,rien,rien,rien,rien,rien,Ei,Es,Ai,A,li,Ps,Ps_liss,P(tous),P(SPF)
31/03/2020,0.54,,0.54,0.54,,,,,,5692.47790603595,80754.9623617606,0,0,4130.32696306696,49311.575794569,48952.2751494316,49319.475794569,52128
01/04/2020,0.57,,0.57,0.57,,,,,,4613.03287008274,85367.9952318433,0,0,4019.54916049104,53985.9758475896,53630.2895137741,53993.8758475896,56989
02/04/2020,,,0.587080217785844,0.587080217785844,,,,,,3408.11110197226,88776.1063338156,0,0,3370.20126629012,58116.3028106565,57890.4251973465,58124.2028106565,59105
03/04/2020,,,0.602460798548095,0.602460798548095,,,,,,2230.37656005616,91006.4828938718,0,0,5053.49404217622,62135.8519711476,62035.8230202343,62143.7519711476,64338
04/04/2020,,,0.616230611010284,0.616230611010284,,,,,,2291.14302147989,93297.6259153516,0,0,4495.03717611072,65506.0532374377,66175.1560881998,65513.9532374377,68505
05/04/2020,,,0.628478523895947,0.628478523895947,,,,,,1978.57849339573,95276.2044087474,0,0,5692.47790603596,70559.5472796139,70691.8522045542,70567.4472796139,70478
06/04/2020,,,0.639293405928615,0.639293405928615,,,,,,3044.53205610752,98320.7364648549,0,0,4613.03287008274,75054.5844557246,75419.3188346846,75062.4844557246,74390
07/04/2020,,,0.648764125831821,0.648764125831821,,,,,,2769.97950554865,101090.715970404,0,0,3408.11110197226,80747.0623617606,80206.2711240432,80754.9623617606,78167
08/04/2020,,,0.656979552329099,0.656979552329099,,,,,,3577.60011169577,104668.316082099,0,0,2230.37656005616,85360.0952318433,84435.1801223782,85367.9952318433,82048
09/04/2020,,,0.664028554143981,0.664028554143981,,,,,,2949.08149517585,107617.397577275,0,0,2291.14302147989,88768.2063338156,88015.8883047594,88776.1063338156,86334
10/04/2020,0.67,,0.67,0.67,,,,,,2211.06021980876,109828.457797084,0,0,1978.57849339573,90998.5828938718,90816.0662574407,91006.4828938718,90676
11/04/2020,,,0.67498275862069,0.67498275862069,,,,,,1465.31179395101,111293.769591035,0,0,3044.53205610752,93289.7259153516,93294.4036547575,93297.6259153516,93790
12/04/2020,,,0.679065698729583,0.679065698729583,,,,,,1521.38438789036,112815.153978925,0,0,2769.97950554866,95268.3044087474,95717.4073217257,95276.2044087474,95403
13/04/2020,,,0.682337689050212,0.682337689050212,,,,,,1325.64759057514,114140.8015695,0,0,3577.60011169576,98312.8364648549,98443.2136422696,98320.7364648549,98076
14/04/2020,,,0.68488759830611,0.68488759830611,,,,,,2055.00664594057,116195.808215441,0,0,2949.08149517585,101082.815970404,101357.616106752,101090.715970404,103573
15/04/2020,,,0.686804295220811,0.686804295220811,,,,,,1880.99806840203,118076.806283843,0,0,2211.06021980876,104660.416082099,104356.099535379,104668.316082099,106206
16/04/2020,,,0.688176648517846,0.70222106991617,,,,,,2441.13139256027,120517.937676403,29.3062358790202,29.3062358790202,1436.00555807199,107609.497577275,107039.976471269,107617.397577275,108847
17/04/2020,,,0.68909352692075,0.703156660123215,,,,,,2019.78934243998,122537.727018843,30.4276877578071,59.7339236368274,1490.95670013255,109820.557797084,109335.4490186,109828.457797084,109252
18/04/2020,,,0.689643799153055,0.703718162401077,,,,,,1518.56565595652,124056.2926748,26.5129518115029,86.2468754483303,1299.13463876364,111256.563355156,111145.913680028,111293.769591035,111821
19/04/2020,,,0.689916333938294,0.703996259120708,,,,,,1008.39335939488,125064.686034195,41.1001329188116,127.347008367142,2013.90651302177,112747.520055288,112761.569455507,112815.153978925,112606
20/04/2020,0.69,,0.69,0.704081632653061,,,,,,1048.37613365353,126113.062167848,37.6199613680405,164.966969735182,1843.37810703399,114046.654694052,114352.276278702,114140.8015695,114657
21/04/2020,,,0.689983666061706,0.704064965369088,,,,,,914.224640702335,127027.286808551,48.8226278512055,213.789597586388,2392.30876470907,116060.561207074,116155.825937213,116195.808215441,117324
22/04/2020,,,0.689956200846945,0.70403693963974,,,,,,1417.78265138615,128445.069459937,40.3957868487996,254.185384435187,1979.39355559118,117903.939314108,118095.055555073,118076.806283843,119151
23/04/2020,,,0.69000647307925,0.704088237835969,,,,,,1297.8886671974,129742.958127134,30.3713131191305,284.556697554318,1488.19434283739,120296.248078817,120098.037823532,120517.937676403,120804
24/04/2020,,,0.690223351482154,0.704309542328728,,,,,,1684.34078757706,131427.298914711,20.1678671878975,304.724564742215,988.225492206978,122275.641634408,121899.630019496,122537.727018843,122577
25/04/2020,,,0.690695704779189,0.704791535488969,,,,,,1393.56618122104,132820.865095932,20.9675226730708,325.692087415286,1027.40861098047,123763.835977246,123449.277824219,124056.2926748,124114
26/04/2020,,,0.69151240169389,0.705624899687643,,,,,,1047.82013240584,133868.685228338,18.2844928140467,343.976580229333,895.940147888287,124752.061469453,124681.447698307,125064.686034195,124575
27/04/2020,,,0.692762310949788,0.706900317295702,,,,,,696.016644133879,134564.701872472,28.355653027723,372.332233257056,1389.42699835843,125779.470080433,125789.831558779,126113.062167848,128339
28/04/2020,,,0.694534301270418,0.708708470684099,,,,,,724.108892507513,135288.810764979,25.9577733439481,398.290006601004,1271.93089385346,126675.410228321,126886.587286757,127027.286808551,129859
29/04/2020,,,0.69691724137931,0.711140042223786,,,,,,632.197676979805,135921.008441959,33.6868157515413,431.976822352545,1650.65397182552,128064.83722668,128130.690592776,128445.069459937,128442
30/04/2020,0.7,,0.7,0.714285714285714,,,,,,982.186385998788,136903.194827958,27.8713236244209,459.848145976966,1365.69485759662,129336.768120533,129468.636056843,129742.958127134,129581
01/05/2020,0.69,,0.69,0.75,,,,,,901.428198598742,137804.623026557,83.8256105924677,543.673756569434,963.994521813379,130987.422092359,130841.660069843,131427.298914711,130185
02/05/2020,,,0.695283663704716,0.755743112722518,,,,,,1173.84613522086,138978.469161778,55.6813315307093,599.355088100143,640.335312603157,132353.116949955,132065.321307287,132820.865095932,130979
03/05/2020,,,0.699617224880383,0.760453505304764,,,,,,975.496326854732,139953.965488632,57.9287114006002,657.283799500743,666.180181106902,133317.111471769,133101.588228981,133868.685228338,131287
04/05/2020,,,0.703198906356801,0.764346637344349,,,,,,722.995891360034,140676.961379992,50.5758141583833,707.859613659127,581.621862821408,133957.446784372,133912.052428981,134564.701872472,131863
05/05/2020,,,0.706226930963773,0.767637968438884,,,,,,483.929002332856,141160.890382325,78.5749108799035,786.43452453903,903.61147511889,134623.626965479,134631.03844645,135288.810764979,132967
06/05/2020,,,0.7088995215311,0.770542958185979,,,,,,506.599053887306,141667.489436213,72.1142558878986,858.548780426929,829.313942710834,135205.2488283,135343.549941493,135921.008441959,137150
07/05/2020,,,0.711414900888585,0.773277066183245,,,,,,444.560715053499,142112.050151266,93.9076908176695,952.456471244598,1079.9384444032,136108.860303419,136153.513553499,136903.194827958,137779
08/05/2020,,,0.713971291866029,0.776055752028292,,,,,,693.646477018328,142805.696628284,78.0397061483795,1030.49617739298,897.456620706364,136938.17424613,137026.803731818,137804.623026557,138421
09/05/2020,,,0.716766917293233,0.779094475318732,,,,,,639.022018681283,143444.718646966,57.8396713088034,1088.33584870178,665.156220051239,138018.112690533,137929.489507404,138978.469161778,138854
10/05/2020,0.72,,0.72,0.782608695652174,,,,,,835.091631946603,144279.810278912,38.714320186628,1127.05016888841,445.214682146222,138915.569311239,138741.930059254,139953.965488632,139063
11/05/2020,,,0.723868762816131,0.78681387262623,,,,,,696.476372695047,144976.286651607,40.5279243109841,1167.57809319939,466.071129576317,139580.725531291,139440.548483306,140676.961379992,139519
12/05/2020,,,0.728571428571429,0.791925465838509,,,,,,518.219536265811,145494.506187873,35.5648572042794,1203.14295040367,408.995857849213,140025.940213437,139996.794607204,141160.890382325,140227
13/05/2020,,,0.734306220095694,0.798158934886624,,,,,,348.428881679652,145842.935069553,55.491718161467,1258.63466856514,638.15475885687,140492.011343013,140499.190185498,141667.489436213,140734
14/05/2020,,,0.741271360218729,0.805729739368183,,,,,,366.711230381223,146209.646299934,51.1217614945024,1309.75643005964,587.900257186778,140901.007200862,141000.253826595,142112.050151266,141356
15/05/2020,,,0.749665071770335,0.814853338880799,,,,,,323.894235253259,146533.540535187,66.8073305557273,1376.56376061537,768.284301390863,141539.161959719,141572.540843914,142805.696628284,141919
16/05/2020,,,0.759685577580315,1.35658138853628,,,,,,509.34892262203,147042.889457809,306.449603985815,1683.01336460118,390.026768709219,142127.062216906,142156.038234101,143444.718646966,142291
17/05/2020,,,0.771531100478469,1.37773410799727,,,,,,473.688720997591,147516.578178807,228.016595956963,1911.02996055815,290.202940308861,142895.346518297,142717.726354214,144279.810278912,142411
18/05/2020,,,0.7853998632946,1.40249975588321,,,,,,626.039028198047,148142.617207005,153.308707939051,2064.3386684972,195.120173740611,143285.373287006,143167.841330056,144976.286651607,142903
19/05/2020,,,0.80149008885851,1.43123230153305,,,,,,529.103055461869,148671.720262467,161.352941367736,2225.69160986493,205.358289013482,143575.576227315,143515.236885013,145494.506187873,143427
20/05/2020,0.82,,0.82,1.46428571428571,,,,,,399.822489104613,149071.542751571,142.513463511429,2368.20507337636,181.380771741818,143770.696401056,143758.806846715,145842.935069553,143845
21/05/2020,,,0.841127819548872,1.50201396348013,,,,,,273.655996039097,149345.198747611,224.113525953698,2592.31859933006,285.235396668343,143976.054690069,143980.364894319,146209.646299934,144163
22/05/2020,,,0.865071770334928,1.54477101845523,,,,,,293.915416623655,149639.114164234,208.423037238943,2800.741636569,265.265683758655,144157.435461811,144203.084598534,146533.540535187,144556
23/05/2020,,,0.89203007518797,1.59291084854995,,,,,,265.593272907662,149904.707437142,275.457172407142,3076.19880897615,350.581855790908,144442.670858479,144459.71040159,147042.889457809,144806
24/05/2020,,,0.922200956937799,1.64678742310321,,,,,,428.427548674645,150333.134985817,232.80534440322,3309.00415337937,296.297711058643,144707.936542238,144739.986934305,147516.578178807,144921
25/05/2020,,,0.955782638414217,1.70675471145396,,,,,,409.77474046108,150742.909726278,175.921895206029,3484.92604858539,223.900593898583,145058.518398029,145033.22190493,148142.617207005,145279
